2024-11-01 00|456|123|2,345,678|4,567,890|2,345,678
2024-11-01 01|789|34|1,234,567|3,456,789|3,580,245
2024-11-01 02|234|56|5,678,901|2,345,678|9,259,146
2024-11-01 03|567|89|3,210,000|1,234,567|12,469,146
2024-11-01 04|321|12|4,500,000|5,678,901|16,969,146
2024-11-01 05|654|78|500,000|3,210,000|17,469,146
2024-11-01 06|890|23|6,789,012|4,500,000|24,258,158
2024-11-01 07|112|45|2,500,000|6,789,012|26,758,158
2024-11-01 08|333|67|1,000,000|2,500,000|27,758,158
2024-11-01 09|444|89|3,500,000|1,000,000|31,258,158
2024-11-01 10|555|90|4,000,000|3,500,000|35,258,158
2024-11-01 11|666|10|500,000|4,000,000|35,758,158
2024-11-01 12|777|11|2,250,000|500,000|38,008,158
2024-11-01 13|888|22|3,750,000|2,250,000|41,758,158
2024-11-01 14|999|33|1,500,000|3,750,000|43,258,158
2024-11-01 15|111|44|2,000,000|1,500,000|45,258,158
2024-11-01 16|222|55|4,250,000|2,000,000|49,508,158
2024-11-01 17|333|66|3,000,000|4,250,000|52,508,158
2024-11-01 18|444|77|2,750,000|3,000,000|55,258,158
2024-11-01 19|555|88|5,000,000|2,750,000|60,258,158
2024-11-01 20|666|99|1,250,000|5,000,000|61,508,158
2024-11-01 21|777|10|3,500,000|1,250,000|65,008,158
2024-11-01 22|888|20|4,750,000|3,500,000|69,758,158
2024-11-01 23|999|30|2,500,000|4,750,000|72,258,158
